company,dep_date,arr_date,das,trip,drag,drag_all,drag_date,drag_period,drag_time_s,drag_time_e,time_fished_min,hrs_dec,depth,depth_sd,id_status,com_status,order,family,class,total_catch_cat,total_catch_spp,categories,sci_name,alpha_code,com_name,sample_wt_lbs,total_wt_lbs,cpue
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Decapoda,Penaeidae,Malacostraca,Target catch,Target species,Shell fish,Xiphopenaeus kroyeri,BOB,Seabob,0,425,106.25
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Cynoscion virescens,YNV,Seatrout,7,30.29,7.5725
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Decapoda,Portunidae,Malacostraca,Discarded catch,Bycatch species,Shell fish,Callinectes ornatus,KLO,Sheriga crab,1.2,5.19,1.2975
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Anguilliformes,Ophichthidae,Actinopterygii,Discarded catch,Bycatch species,Other,Ophichthus gomesii,OOG,Shrimp eel,1.3,5.63,1.4075
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Perciformes,Trichiuridae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Trichiurus lepturus,LHT,Silverbelt,0.6,0.6,0.15
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Decapoda,Leucosiidae,Malacostraca,Discarded catch,Bycatch species,Shell fish,Persephona lichtensteinii,NA,Siri ball,0.2,0.87,0.2175
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Pleuronectiformes,Cynoglossidae,Actinopterygii,Discarded catch,Bycatch species,Flat fish,Symphurus plagusia,YFS,Tongue fish,0.4,1.73,0.4325
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Haemulidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Genyatremus luteus,GEU,Annafolk,0.01,0.02,0.005
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Paralonchurus brasiliensis,RLB,Banded croaker,8,22.25,5.5625
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Macrodon ancylodon,WKK,Bangamary,6,16.69,4.1725
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Decapoda,Malacostraca,Malacostraca,Discarded catch,Bycatch species,Shell fish,Hepatus gronovii,HGV,Box crab,0.32,0.89,0.2225
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Torpediniformes,Narcinidae,Elasmobranchii,Discarded catch,Bycatch species,Flat fish,Narcine brasiliensis,TNA,Brazilian electric stingray,0.4,0.4,0.1
